,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,12.28,12.32,12.18,12.28,11.168421,5029424
1,2019-01-02,12.1,12.16,11.72,11.84,10.76825,17145772
2,2019-01-03,11.84,12.18,11.84,12.14,11.041094000000001,15704783
3,2019-01-04,12.1,12.4,12.04,12.36,11.241178999999999,16198811
4,2019-01-07,12.68,12.68,12.3,12.32,11.204801,12601062
5,2019-01-08,12.36,12.5,12.26,12.28,11.168421,14508738
6,2019-01-09,12.54,12.64,12.42,12.48,11.350316000000001,23858771
7,2019-01-10,12.48,12.6,12.44,12.5,11.368507000000001,16084203
8,2019-01-11,12.54,12.66,12.36,12.4,11.277558,28975741
9,2019-01-14,12.34,12.52,12.12,12.18,11.077474,19913370
10,2019-01-15,12.32,12.4,12.18,12.28,11.168421,12349787
11,2019-01-16,12.22,12.28,12.12,12.2,11.095661999999999,23683113
12,2019-01-17,12.14,12.14,11.8,11.8,10.731869999999999,25261000
13,2019-01-18,11.94,11.96,11.84,11.88,10.804628,14102163
14,2019-01-21,11.8,11.96,11.8,11.92,10.841007000000001,8881567
15,2019-01-22,11.98,12.0,11.76,11.84,10.76825,8916321
16,2019-01-23,11.94,12.02,11.76,11.82,10.750059,13997783
17,2019-01-24,11.9,12.0,11.8,11.86,10.786439,18458583
18,2019-01-25,11.88,12.02,11.88,11.96,10.877388,11108000
19,2019-01-28,12.06,12.06,11.74,11.8,10.731869999999999,13803978
20,2019-01-29,11.9,11.94,11.76,11.8,10.731869999999999,13907250
21,2019-01-30,11.92,11.92,11.74,11.76,10.695492,12537551
22,2019-01-31,11.76,11.92,11.74,11.86,10.786439,11484306
23,2019-02-01,11.96,11.96,11.76,11.82,10.750059,7473454
24,2019-02-04,11.82,11.82,11.6,11.68,10.622733,6917427
25,2019-02-08,11.48,11.64,11.38,11.56,10.513597,12200094
26,2019-02-11,11.54,11.68,11.48,11.6,10.549974,6370642
27,2019-02-12,11.54,11.64,11.42,11.6,10.549974,7156329
28,2019-02-13,11.58,11.82,11.58,11.72,10.659111,10753903
29,2019-02-14,11.82,11.9,11.74,11.82,10.750059,9989604
30,2019-02-15,11.88,11.9,11.7,11.74,10.677301,10435296
31,2019-02-18,11.92,11.94,11.82,11.86,10.786439,9977954
32,2019-02-19,11.94,11.98,11.8,11.82,10.750059,6563477
33,2019-02-20,11.86,11.9,11.76,11.84,10.76825,12547710
34,2019-02-21,11.92,11.98,11.82,11.94,10.859197,9806040
35,2019-02-22,11.96,12.04,11.84,12.04,10.950146,12618147
36,2019-02-25,12.06,12.14,11.96,12.06,10.968336,13833004
37,2019-02-26,12.14,12.24,12.08,12.1,11.004715,15164245
38,2019-02-27,12.22,12.22,12.02,12.06,10.968336,12754194
39,2019-02-28,11.9,12.06,11.86,11.94,10.859197,13268294
40,2019-03-01,12.0,12.02,11.86,11.96,10.877388,11636621
41,2019-03-04,12.06,12.14,11.84,11.96,10.877388,12025701
42,2019-03-05,12.0,12.0,11.8,11.94,10.859197,9964821
43,2019-03-06,11.82,11.96,11.82,11.96,10.877388,13280620
44,2019-03-07,11.98,12.02,11.88,11.94,10.859197,9043889
45,2019-03-08,11.7,11.82,11.7,11.8,10.731869999999999,31547957
46,2019-03-11,11.64,11.92,11.64,11.84,10.76825,10682200
47,2019-03-12,11.94,11.98,11.82,11.9,10.822818,17388087
48,2019-03-13,11.8,11.9,11.7,11.76,10.695492,12928240
49,2019-03-14,11.82,11.82,11.6,11.74,10.677301,9429962
50,2019-03-15,11.64,11.78,11.6,11.78,10.71368,23816491
51,2019-03-18,11.72,11.9,11.66,11.88,10.804628,13051774
52,2019-03-19,11.9,11.92,11.76,11.84,10.76825,11284910
53,2019-03-20,11.98,11.98,11.74,11.76,10.695492,12541282
54,2019-03-21,11.86,11.86,11.64,11.72,10.659111,11824561
55,2019-03-22,11.88,11.88,11.6,11.7,10.640922,13812544
56,2019-03-25,11.68,11.68,11.46,11.52,10.477217,11072000
57,2019-03-26,11.7,11.7,11.42,11.5,10.459025,11352240
58,2019-03-27,11.4,11.52,11.4,11.46,10.422647,8277315
59,2019-03-28,11.4,11.7,11.4,11.56,10.513597,11414672
60,2019-03-29,11.5,11.78,11.34,11.72,10.659111,16951267
61,2019-04-01,11.92,12.06,11.84,11.88,10.804628,25785477
62,2019-04-02,11.92,12.28,11.9,12.06,10.968336,37793101
63,2019-04-03,12.12,12.2,12.0,12.1,11.004715,36187164
64,2019-04-04,12.14,12.2,11.96,12.02,10.931956,31633300
65,2019-04-08,12.16,12.18,12.0,12.06,10.968336,26319644
66,2019-04-09,12.08,12.16,12.04,12.08,10.986525,32050566
67,2019-04-10,12.14,12.16,12.04,12.1,11.004715,15789748
68,2019-04-11,12.06,12.14,11.82,11.86,10.786439,16693766
69,2019-04-12,11.94,11.94,11.74,11.84,10.76825,10927181
70,2019-04-15,11.88,12.08,11.78,11.82,10.750059,16169148
71,2019-04-16,11.76,11.98,11.76,11.9,10.822818,9910068
72,2019-04-17,11.9,11.96,11.78,11.88,10.804628,12217334
73,2019-04-18,11.9,11.9,11.74,11.76,10.695492,14012300
74,2019-04-23,11.5,11.68,11.5,11.66,10.604543,13964199
75,2019-04-24,11.7,11.72,11.54,11.64,10.586352999999999,7938060
76,2019-04-25,11.64,11.7,11.5,11.54,10.495406,11585037
77,2019-04-26,11.5,11.58,11.42,11.5,10.459025,8473266
78,2019-04-29,11.6,11.62,11.44,11.5,10.459025,9298730
79,2019-04-30,11.4,11.48,11.38,11.42,10.386269,13313070
80,2019-05-02,11.36,11.54,11.36,11.52,10.477217,12395228
81,2019-05-03,11.36,11.54,11.36,11.54,10.495406,7077954
82,2019-05-06,11.38,11.48,11.12,11.28,10.258941,21512218
83,2019-05-07,11.22,11.36,11.2,11.34,10.31351,15248051
84,2019-05-08,11.24,11.26,11.08,11.14,10.131614,14496750
85,2019-05-09,11.04,11.14,10.9,11.0,10.004287,19415165
86,2019-05-10,11.16,11.16,10.82,10.92,9.931527,17112300
87,2019-05-14,10.76,11.0,10.7,10.92,9.931527,21049708
88,2019-05-15,10.82,10.92,10.72,10.76,9.786011,15316289
89,2019-05-16,10.68,11.0,10.68,10.9,9.913338000000001,21136151
90,2019-05-17,10.84,10.86,10.7,10.76,9.786011,14076640
91,2019-05-20,10.84,11.26,10.74,10.84,9.858768,11542638
92,2019-05-21,10.9,10.9,10.76,10.86,9.876959,9582318
93,2019-05-22,10.92,10.92,10.76,10.78,9.8042,7392180
94,2019-05-23,10.76,10.8,10.62,10.7,9.731441,14043390
95,2019-05-24,10.86,10.86,10.62,10.72,9.749630999999999,5848573
96,2019-05-27,10.66,10.72,10.58,10.62,9.658682,7838000
97,2019-05-28,10.56,10.66,10.52,10.62,9.658682,31328978
98,2019-05-29,10.66,10.72,10.56,10.62,9.658682,13524095
99,2019-05-30,10.68,10.74,10.58,10.68,9.713252,8945973
100,2019-05-31,10.6,10.74,10.54,10.64,9.676872999999999,9755574
101,2019-06-03,10.68,10.76,10.62,10.7,9.731441,12238000
102,2019-06-04,10.6,10.74,10.58,10.62,9.658682,6899489
103,2019-06-05,10.72,10.8,10.64,10.76,9.786011,9524311
104,2019-06-06,10.66,10.8,10.6,10.76,9.786011,7755484
105,2019-06-10,10.44,10.7,10.44,10.62,9.897849,10388624
106,2019-06-11,10.74,10.74,10.58,10.66,9.935130000000001,13480210
107,2019-06-12,10.76,10.76,10.54,10.64,9.916491,17880136
108,2019-06-13,10.66,10.7,10.54,10.68,9.953771000000001,16528348
109,2019-06-14,10.58,10.7,10.58,10.66,9.935130000000001,17130093
110,2019-06-17,10.58,10.84,10.58,10.64,9.916491,9596764
111,2019-06-18,10.7,10.84,10.68,10.82,10.084249,8709600
112,2019-06-19,11.14,11.14,10.9,11.12,10.363850999999999,17689000
113,2019-06-20,11.2,11.2,10.98,11.14,10.382491,12960000
114,2019-06-21,11.2,11.24,11.06,11.22,10.457051,19532367
115,2019-06-24,11.26,11.32,11.18,11.2,10.438412,12587070
116,2019-06-25,11.28,11.28,11.06,11.1,10.345212,11368468
117,2019-06-26,11.06,11.22,11.0,11.12,10.363850999999999,11689595
118,2019-06-27,11.26,11.36,11.16,11.3,10.531611,13184753
119,2019-06-28,11.38,11.4,11.2,11.26,10.494330999999999,8309246
120,2019-07-02,11.26,11.46,11.24,11.34,10.568892,12463723
121,2019-07-03,11.28,11.3,11.16,11.2,10.438412,5980209
122,2019-07-04,11.2,11.26,11.14,11.18,10.419772,3466000
123,2019-07-05,11.1,11.18,11.04,11.12,10.363850999999999,2646041
124,2019-07-08,11.14,11.14,10.92,11.02,10.270650999999999,6073451
125,2019-07-09,10.92,11.1,10.84,10.84,10.102889999999999,5657000
126,2019-07-10,10.84,10.9,10.8,10.86,10.121531,4151009
127,2019-07-11,10.94,11.1,10.86,11.0,10.252011,6141878
128,2019-07-12,10.9,10.98,10.78,10.8,10.065611,14957032
129,2019-07-15,10.7,10.8,10.64,10.76,10.028331,9608676
130,2019-07-16,10.7,10.84,10.64,10.74,10.009689999999999,10886683
131,2019-07-17,10.64,10.68,10.56,10.68,9.953771000000001,12586733
132,2019-07-18,10.56,10.68,10.54,10.6,9.87921,8758386
133,2019-07-19,10.72,10.76,10.6,10.62,9.897849,9171890
134,2019-07-22,10.52,10.6,10.42,10.44,9.730089999999999,14842136
135,2019-07-23,10.5,10.5,10.42,10.5,9.786011,9511116
136,2019-07-24,10.54,10.6,10.5,10.56,9.84193,7731549
137,2019-07-25,10.58,10.62,10.48,10.58,9.86057,7235546
138,2019-07-26,10.5,10.56,10.4,10.48,9.76737,9085891
139,2019-07-29,10.5,10.5,10.26,10.4,9.69281,13511905
140,2019-07-30,10.38,10.44,10.3,10.4,9.69281,7834645
141,2019-07-31,10.26,10.4,10.24,10.4,9.69281,10730095
142,2019-08-01,10.14,10.26,10.12,10.22,9.525051,20766417
143,2019-08-02,10.0,10.06,9.96,10.02,9.338650999999999,13702000
144,2019-08-05,9.8,10.02,9.68,9.8,9.133610000000001,18807155
145,2019-08-06,9.62,9.79,9.52,9.77,9.105651,19602373
146,2019-08-07,9.64,9.66,9.52,9.66,9.003129,12011349
147,2019-08-08,9.68,9.75,9.6,9.67,9.01245,9018639
148,2019-08-09,9.57,9.61,9.42,9.42,8.779449000000001,10733134
149,2019-08-12,9.49,9.56,9.39,9.41,8.770128,6101000
150,2019-08-13,9.3,9.3,9.14,9.2,8.574409,10545539
151,2019-08-14,9.29,9.29,9.08,9.12,8.499849000000001,9031675
152,2019-08-15,9.15,9.21,9.09,9.2,8.574409,9119862
153,2019-08-16,9.11,9.2,9.04,9.18,8.555769,11147383
154,2019-08-19,9.22,9.34,9.17,9.26,8.630329,9421711
155,2019-08-20,9.06,9.25,9.05,9.17,8.546449,9055357
156,2019-08-21,9.12,9.23,9.11,9.19,8.565088000000001,5921869
157,2019-08-22,9.23,9.23,9.06,9.08,8.462568,10116685
158,2019-08-23,9.07,9.1,8.97,9.05,8.434608,9730053
159,2019-08-26,8.71,8.86,8.65,8.83,8.229567999999999,10678791
160,2019-08-27,8.91,9.07,8.81,8.99,8.378689,15828245
161,2019-08-28,9.13,9.16,9.05,9.09,8.471889,6010000
162,2019-08-29,9.04,9.36,9.02,9.26,8.630329,12375000
163,2019-08-30,9.32,9.47,9.18,9.29,8.658289,18602510
164,2019-09-02,9.38,9.4,9.25,9.39,8.751489999999999,8525000
165,2019-09-03,9.37,9.49,9.25,9.33,8.695569,6223352
166,2019-09-04,9.46,9.76,9.37,9.64,8.98449,17088402
167,2019-09-05,9.6,9.78,9.52,9.75,9.087010000000001,12762936
168,2019-09-06,9.8,9.8,9.63,9.7,9.040409,10748720
169,2019-09-09,9.64,9.78,9.64,9.7,9.040409,4728458
170,2019-09-10,9.78,10.06,9.78,9.92,9.24545,12238971
171,2019-09-11,9.99,10.1,9.87,10.06,9.37593,12264579
172,2019-09-12,10.1,10.2,10.04,10.18,9.48777,11245189
173,2019-09-13,10.0,10.16,9.96,10.1,9.582647999999999,8156488
174,2019-09-16,9.9,10.1,9.88,10.1,9.582647999999999,9285573
175,2019-09-17,10.06,10.16,9.99,10.12,9.601624000000001,9581332
176,2019-09-18,10.16,10.28,10.06,10.16,9.639574,8803695
177,2019-09-19,10.3,10.36,9.96,10.08,9.563672,10616396
178,2019-09-20,10.18,10.18,10.0,10.02,9.506746000000001,21166760
179,2019-09-23,10.14,10.2,9.99,9.99,9.478280999999999,6287182
180,2019-09-24,10.14,10.18,9.93,9.96,9.449819,12690448
181,2019-09-25,10.04,10.08,9.84,9.91,9.40238,9464125
182,2019-09-26,9.85,9.9,9.76,9.85,9.345454,8740822
183,2019-09-27,9.84,9.92,9.7,9.91,9.40238,7245324
184,2019-09-30,9.8,9.96,9.74,9.9,9.392892,9093408
185,2019-10-02,9.79,10.1,9.69,9.9,9.392892,8325887
186,2019-10-03,9.99,10.1,9.82,10.0,9.48777,6660840
187,2019-10-04,10.14,10.14,9.83,9.95,9.440331,5512763
188,2019-10-08,10.12,10.12,9.86,9.9,9.392892,9233925
189,2019-10-09,9.94,10.02,9.83,9.89,9.383405,8691871
190,2019-10-10,9.85,9.92,9.75,9.86,9.35494,8241217
191,2019-10-11,9.94,10.26,9.93,10.2,9.677526,11598080
192,2019-10-14,10.14,10.26,10.1,10.14,9.620599,5293000
193,2019-10-15,10.14,10.22,10.06,10.12,9.601624000000001,9373278
194,2019-10-16,10.02,10.18,9.98,10.08,9.563672,21033000
195,2019-10-17,10.02,10.18,9.99,10.1,9.582647999999999,6865004
196,2019-10-18,10.06,10.2,10.0,10.08,9.563672,7733490
197,2019-10-21,10.02,10.2,10.02,10.14,9.620599,4712000
198,2019-10-22,10.24,10.32,10.1,10.2,9.677526,7490681
199,2019-10-23,10.2,10.26,10.08,10.14,9.620599,10192040
200,2019-10-24,10.24,10.36,10.12,10.32,9.791379,11321740
201,2019-10-25,10.32,10.32,10.1,10.24,9.715475999999999,5470699
202,2019-10-28,10.32,10.44,10.2,10.36,9.829329,7788270
203,2019-10-29,10.4,10.44,10.34,10.36,9.829329,6777626
204,2019-10-30,10.26,10.3,10.14,10.22,9.696502,7394777
205,2019-10-31,10.16,10.32,10.16,10.3,9.772404,8431031
206,2019-11-01,10.26,10.36,10.14,10.36,9.829329,4371152
207,2019-11-04,10.4,10.56,10.36,10.5,9.962159,12333700
208,2019-11-05,10.42,10.46,10.34,10.46,9.924208,9950113
209,2019-11-06,10.42,10.52,10.38,10.42,9.886257,10140730
210,2019-11-07,10.44,10.6,10.38,10.54,10.000109,8127737
211,2019-11-08,10.42,10.5,10.4,10.42,9.886257,7018918
212,2019-11-11,10.28,10.44,10.22,10.34,9.810354,13002750
213,2019-11-12,10.38,10.74,10.34,10.7,10.151914,17059110
214,2019-11-13,10.5,10.62,10.38,10.42,9.886257,11743660
215,2019-11-14,10.36,10.44,10.04,10.18,9.65855,18273850
216,2019-11-15,10.3,10.3,10.06,10.1,9.582647999999999,8631825
217,2019-11-18,10.18,10.22,10.08,10.18,9.65855,9739207
218,2019-11-19,10.04,10.32,9.96,10.26,9.734452000000001,8687060
219,2019-11-20,10.14,10.26,10.12,10.16,9.639574,5678050
220,2019-11-21,10.02,10.06,9.83,9.9,9.392892,14601630
221,2019-11-22,9.94,10.04,9.94,9.98,9.468794,5618540
222,2019-11-25,10.04,10.28,10.0,10.18,9.65855,10138600
223,2019-11-26,10.3,10.3,10.18,10.22,9.696502,27023470
224,2019-11-27,10.28,10.3,10.1,10.2,9.677526,3727031
225,2019-11-28,10.1,10.14,10.04,10.1,9.582647999999999,5157588
226,2019-11-29,9.98,10.06,9.74,9.8,9.298015,15916050
227,2019-12-02,9.93,9.93,9.75,9.87,9.364429,12217130
228,2019-12-03,9.86,9.92,9.68,9.88,9.373917,12484640
229,2019-12-04,9.46,9.89,9.46,9.83,9.326478,14243550
230,2019-12-05,9.95,9.95,9.77,9.86,9.35494,11805490
231,2019-12-06,9.95,10.06,9.88,9.97,9.459307,56269860
232,2019-12-09,9.92,10.06,9.92,9.99,9.478280999999999,16104850
233,2019-12-10,9.96,9.97,9.88,9.9,9.392892,6725766
234,2019-12-11,9.82,9.95,9.82,9.9,9.392892,7884750
235,2019-12-12,9.99,10.08,9.93,10.06,9.544697,8060089
236,2019-12-13,10.5,10.6,10.18,10.3,9.772404,15345220
237,2019-12-16,10.2,10.36,10.18,10.22,9.696502,9852654
238,2019-12-17,10.18,10.4,10.18,10.38,9.848306,13691310
239,2019-12-18,10.28,10.42,10.26,10.36,9.829329,10172420
240,2019-12-19,10.34,10.38,10.14,10.24,9.715475999999999,5474685
241,2019-12-20,10.18,10.32,10.18,10.3,9.772404,15524180
242,2019-12-23,10.22,10.34,10.2,10.28,9.753428,6393414
243,2019-12-24,10.2,10.3,10.18,10.26,9.734452000000001,2481911
244,2019-12-27,10.36,10.4,10.28,10.36,9.829329,6804553
245,2019-12-30,10.42,10.42,10.26,10.32,9.791379,13172250
246,2019-12-31,10.36,10.42,10.26,10.42,9.886257,10041000
